Algo,ResultId,Time(sec),TourCost,AWDfromVTX1,MinAWD,DelEdgeP
nearest_insertion,1,0.147,3278.2,1659.17,1620.683,91.667
nearest_insertion,2,0.136,3282.276,1645.353,1624.546,88
nearest_insertion,3,0.138,3271.697,1654.065,1606.416,88
nearest_insertion,4,0.141,3300.626,1664.948,1637.427,90
nearest_insertion,5,0.138,3297.063,1655.851,1634.772,92.667
nearest_insertion,6,0.142,3258.331,1642.703,1618.203,89.333
nearest_insertion,7,0.136,3261.762,1645.527,1611.918,90.333
nearest_insertion,8,0.14,3196.265,1595.279,1584.292,92.333
nearest_insertion,9,0.137,3225.194,1621.752,1598.898,91.333
nearest_insertion,10,0.139,3273.992,1640.293,1626.169,90.333
nearest_insertion,11,0.135,3271.697,1641.147,1624.244,88
nearest_insertion,12,0.134,3236.265,1645.499,1598.608,91
nearest_insertion,13,0.136,3199.696,1598.277,1577.189,93.333
nearest_insertion,14,0.135,3221.117,1619.236,1592.369,92.333
nearest_insertion,15,0.138,3269.784,1639.645,1624.715,90.333
nearest_insertion,16,0.135,3230.407,1616.374,1598.822,89
nearest_insertion,17,0.135,3261.631,1627.211,1612.813,90
nearest_insertion,18,0.138,3251.052,1639.467,1592.295,89.333
nearest_insertion,19,0.134,3259.981,1627.928,1606.366,93.667
nearest_insertion,20,0.135,3266.484,1636.286,1612.847,92
nearest_insertion,AVG,0.137,3255.676,1635.801,1610.18,90.65
nearest_insertion,STD,0.003,29.05,18.597,16.582,1.745
