Algo,ResultId,Time(sec),ApproxRatio,TourCost,AWDfromVTX1,MinAWD,DelEdgeP
concaveRingMergeNearestPtV2,1,33.051,1.46,96441314.73,48043819.293,46982540.949,85.504
concaveRingMergeNearestPtV2,2,32.256,1.46,96441314.73,48043819.293,46982540.949,85.504
concaveRingMergeNearestPtV2,3,30.995,1.46,96441314.73,48043819.293,46982540.949,85.504
concaveRingMergeNearestPtV2,AVG,32.101,1.46,96441314.73,48043819.293,46982540.949,85.504
concaveRingMergeNearestPtV2,STD,1.037,0,0,0,0,0
concaveRingMergeNearestPtV2,OPT,0,1,66043099.021,32737492.595,31974553.562,99.817
