Algo,ResultId,Time(sec),ApproxRatio,TourCost,AWDfromVTX1,MinAWD,DelEdgeP
nn,1,37.704,1.251,82615966.611,36898677.039,NA,93.295
nn,2,38.204,1.245,82234690.59,41886054.726,NA,93.336
nn,3,49.91,1.253,82738519.227,43689121.951,NA,93.156
nn,4,49.35,1.244,82185899.68,44548862.524,NA,93.174
nn,5,47.906,1.25,82547387.183,43845605.614,NA,93.307
nn,AVG,44.615,1.249,82464492.658,42173664.371,NA,93.253
nn,STD,6.127,0.004,242553.839,3108125.485,NA,0.083
