Algo,ResultId,Time(sec),ApproxRatio,TourCost,AWDfromVTX1,MinAWD,DelEdgeP
concaveRingMergeNearestPtV3,1,34.809,1.581,104421961.299,51882394.952,50564818.232,89.172
concaveRingMergeNearestPtV3,2,31.873,1.581,104421961.299,51882394.952,50564818.232,89.172
concaveRingMergeNearestPtV3,3,32.938,1.581,104421961.299,51882394.952,50564818.232,89.172
concaveRingMergeNearestPtV3,AVG,33.207,1.581,104421961.299,51882394.952,50564818.232,89.172
concaveRingMergeNearestPtV3,STD,1.486,0,0,0,0,0
concaveRingMergeNearestPtV3,OPT,0,1,66043099.021,32737492.595,31974553.562,99.817
