Algo,ResultId,Time(sec),TourCost,AWDfromVTX1,MinAWD,DelEdgeP
arbitrary_insertion,1,0.006,4581.48,2275.251,2254.601,95.5
arbitrary_insertion,2,0.005,4624.837,2324.353,2269.395,91.75
arbitrary_insertion,3,0.006,4599.186,2302.422,2274.754,95
arbitrary_insertion,4,0.004,4608.246,2309.849,2284.348,95.25
arbitrary_insertion,5,0.004,4557.825,2289.262,2246.11,94.25
arbitrary_insertion,6,0.004,4544.267,2272.686,2241.478,95.75
arbitrary_insertion,7,0.004,4516.895,2266.406,2233.144,96.5
arbitrary_insertion,8,0.004,4592.361,2290.328,2270.702,95.75
arbitrary_insertion,9,0.004,4586.202,2306.858,2268.315,94
arbitrary_insertion,10,0.004,4537.896,2274.881,2230.571,97
arbitrary_insertion,11,0.004,4533.973,2256.639,2240.537,95
arbitrary_insertion,12,0.004,4568.738,2295.721,2265.466,95.5
arbitrary_insertion,13,0.005,4539.966,2270.653,2245.716,95.5
arbitrary_insertion,14,0.004,4518.803,2236.543,2232.493,96
arbitrary_insertion,15,0.005,4569.896,2297.516,2239.197,94.75
arbitrary_insertion,16,0.005,4549.251,2282.031,2244.063,95.25
arbitrary_insertion,17,0.004,4565.688,2300.329,2254.352,95.25
arbitrary_insertion,18,0.004,4562.388,2276.5,2253.699,94.5
arbitrary_insertion,19,0.004,4585.46,2281.792,2260.65,95.5
arbitrary_insertion,20,0.004,4639.153,2311.734,2274.78,94.25
arbitrary_insertion,AVG,0.004,4569.126,2286.088,2254.218,95.112
arbitrary_insertion,STD,0.001,33.414,20.946,16.08,1.084
