Algo,ResultId,Time(sec),TourCost,AWDfromVTX1,MinAWD,DelEdgeP
arbitrary_insertion,1,0.007,4243.145,2121.249,2119.513,99.5
arbitrary_insertion,2,0.005,4266.308,2139.968,2129.392,99
arbitrary_insertion,3,0.005,4271.061,2139.708,2124.029,99
arbitrary_insertion,4,0.004,4269.131,2137.941,2127.718,99.25
arbitrary_insertion,5,0.004,4276.863,2137.672,2129.282,98.25
arbitrary_insertion,6,0.004,4235.41,2121.282,2117.34,99.5
arbitrary_insertion,7,0.004,4297.199,2159.895,2143.025,98.25
arbitrary_insertion,8,0.004,4289.483,2149.653,2136.075,98.25
arbitrary_insertion,9,0.004,4274.03,2135.901,2129.91,98.5
arbitrary_insertion,10,0.004,4281.759,2139.863,2135.609,98.25
arbitrary_insertion,11,0.004,4250.861,2135.996,2117.228,99.25
arbitrary_insertion,12,0.004,4315.486,2158.178,2150.817,97.5
arbitrary_insertion,13,0.004,4250.863,2129.797,2121.728,99.25
arbitrary_insertion,14,0.004,4281.756,2140.803,2129.567,98.25
arbitrary_insertion,15,0.004,4258.59,2150.75,2118.41,99.5
arbitrary_insertion,16,0.004,4266.324,2143.108,2126.814,98.5
arbitrary_insertion,17,0.004,4269.122,2136.203,2126.615,98.75
arbitrary_insertion,18,0.004,4266.312,2139.027,2130.344,99
arbitrary_insertion,19,0.004,4291.379,2140.825,2132.581,98.75
arbitrary_insertion,20,0.004,4281.754,2145.674,2133.931,98.5
arbitrary_insertion,AVG,0.004,4271.842,2140.175,2128.996,98.75
arbitrary_insertion,STD,0.001,19.028,9.845,8.501,0.544
