Algo,ResultId,Time(sec),TourCost,AWDfromVTX1,MinAWD,DelEdgeP
nn,1,3.045,121007.923,62287.846,54958.603,90.78
nn,2,3.419,120111.334,61169.257,55125.183,91.01
nn,3,3.623,120769.369,58333.301,54740.011,91.01
nn,4,3.654,121053.504,63271.854,54422.854,90.84
nn,5,3.564,120646.793,61337.166,54726.475,90.94
nn,AVG,3.461,120717.785,61279.885,54794.625,90.916
nn,STD,0.249,378.276,1849.446,265.517,0.103
