Algo,ResultId,Time(sec),ApproxRatio,TourCost,AWDfromVTX1,MinAWD,DelEdgeP
concaveRingMergeNearestPtV2,1,0.491,1.335,504587.594,254129.358,246205.914,86.747
concaveRingMergeNearestPtV2,2,0.45,1.335,504587.594,254129.358,246205.914,86.747
concaveRingMergeNearestPtV2,3,0.447,1.335,504587.594,254129.358,246205.914,86.747
concaveRingMergeNearestPtV2,AVG,0.463,1.335,504587.594,254129.358,246205.914,86.747
concaveRingMergeNearestPtV2,STD,0.025,0,0,0,0,0
concaveRingMergeNearestPtV2,OPT,0,1,378062.826,191180.453,186341.168,99.54
