Algo,ResultId,Time(sec),ApproxRatio,TourCost,AWDfromVTX1,MinAWD,DelEdgeP
nn,1,0.336,1.287,486478.84,219287.371,214754.562,92.893
nn,2,0.249,1.302,492310.407,256030.796,213510.882,92.809
nn,3,0.162,1.247,471289.401,235609.394,207336.894,93.06
nn,4,0.162,1.259,476024.853,256697.774,210567.787,93.604
nn,5,0.162,1.271,480434.511,247090.571,217500.502,93.227
nn,AVG,0.214,1.273,481307.602,242943.181,212734.125,93.119
nn,STD,0.078,0.022,8319.217,15740.53,3912.384,0.315
