Algo,ResultId,Time(sec),TourCost,AWDfromVTX1,MinAWD,DelEdgeP
arbitrary_insertion,1,0.004,43570.35,21861.246,20618.955,93.333
arbitrary_insertion,2,0.004,43035.138,21376.871,20666.796,94
arbitrary_insertion,3,0.004,42326.187,21411.481,20139.437,95.333
arbitrary_insertion,4,0.002,44874.377,22606.951,21712.644,92
arbitrary_insertion,5,0.003,42347.846,21375.613,20376.134,94.333
arbitrary_insertion,6,0.003,44110.731,22384.546,21066.294,94
arbitrary_insertion,7,0.003,42924.251,21563.439,20581.06,94
arbitrary_insertion,8,0.005,43279.608,21677.762,20599.349,94.333
arbitrary_insertion,9,0.003,43482.349,21871.817,20653.772,93.667
arbitrary_insertion,10,0.003,43857.62,21672.1,21017.961,92.667
arbitrary_insertion,11,0.003,43639.655,21801.521,21089.337,94.333
arbitrary_insertion,12,0.002,43592.703,21589.283,20892.499,93
arbitrary_insertion,13,0.003,43629.927,22131.199,21104.126,93.667
arbitrary_insertion,14,0.003,44171.884,21986.751,21215.796,93.667
arbitrary_insertion,15,0.003,43580.384,22224.346,20849.747,92.333
arbitrary_insertion,16,0.003,43737.804,21868.55,21138.996,92.667
arbitrary_insertion,17,0.002,43017.858,21289.612,20554.163,94.333
arbitrary_insertion,18,0.003,43669.492,22273.028,20924.077,93.333
arbitrary_insertion,19,0.003,43902.027,22070.467,21185.413,94.333
arbitrary_insertion,20,0.003,43273.415,21411.542,20754.114,94.333
arbitrary_insertion,AVG,0.003,43501.18,21822.406,20857.033,93.683
arbitrary_insertion,STD,0.001,595.158,374.948,352.727,0.827
